,Tipo,Ano,Local,Seção,Seção (Nome),Total
330,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",532
331,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",2013
332,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",26
333,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",70
334,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",869
335,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",74
372,N° de funcionários,2020,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",410
373,N° de funcionários,2019,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",385
374,N° de funcionários,2018,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",700
375,N° de funcionários,2017,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",733
376,N° de funcionários,2016,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",681
377,N° de funcionários,2015,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",630
378,N° de funcionários,2014,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",611
379,N° de funcionários,2013,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",557
380,N° de funcionários,2012,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",709
381,N° de funcionários,2011,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",858
382,N° de funcionários,2010,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",853
383,N° de funcionários,2009,Mato Grosso,A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",1246
390,N° de funcionários,2011,Mato Grosso,C,INDÚSTRIAS DE TRANSFORMAÇÃO,21
391,N° de funcionários,2009,Mato Grosso,C,INDÚSTRIAS DE TRANSFORMAÇÃO,767
437,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",1
438,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",133
439,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",17
440,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",96
441,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",15
442,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",94
443,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",4
444,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",88
445,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",5
446,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",92
447,N° de funcionários,2015,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",7
448,N° de funcionários,2015,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",104
449,N° de funcionários,2014,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",522
450,N° de funcionários,2013,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",554
451,N° de funcionários,2012,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",576
452,N° de funcionários,2011,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",655
453,N° de funcionários,2010,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",0
454,N° de funcionários,2010,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",150
455,N° de funcionários,2009,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",321
735,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",1542
736,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",291
737,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",31
738,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",25
739,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",30
740,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",16
741,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",206
742,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",16
743,N° de funcionários,2020,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",71
744,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",1287
745,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",236
746,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",21
747,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",50
748,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",23
749,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",17
750,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",198
751,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",10
752,N° de funcionários,2019,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",77
753,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",806
754,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",305
755,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",20
756,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",44
757,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",40
758,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",14
759,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",182
760,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",8
761,N° de funcionários,2018,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",49
762,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",703
763,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",301
764,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",32
765,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",17
766,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",48
767,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",11
768,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",199
769,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",13
770,N° de funcionários,2017,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",58
771,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",636
772,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",197
773,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",14
774,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",15
775,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",27
776,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",12
777,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",167
778,N° de funcionários,2016,Mato Grosso,E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",6
